Data_Status,State,MSN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2020P,NJ,RFTCD,12.24,16.8,18.59,17.89,17.26,9.28,6.74,9.53,11.92,11.22
2020P,NJ,RFTXD,12.23,16.78,18.58,17.88,17.24,9.28,6.74,9.53,11.92,11.22
2020P,NJ,SNICD,24.1,30.44,31.33,30.47,29.27,21.53,19.21,21.57,23.98,23.01
2020P,NJ,TEACD,20.56,26.51,27.46,26.69,26.13,18.44,16.15,18.59,20.78,20.15
2020P,NJ,TECCD,22.55,21.42,20.58,20.97,20.61,20.46,19.85,20.73,20.2,20.46
2020P,NJ,TEICD,20.38,22.74,20.18,21.8,23,17.64,15.56,17.14,18.17,16.65
2020P,NJ,TERCD,23.66,23.08,23.08,21.33,19.96,19.1,19.58,19.69,19.3,19.97
2020P,NJ,TETCD,21.66,24.33,24.4,23.84,23.14,18.96,17.63,19.17,20.09,19.88
2020P,NJ,TETXD,21.66,24.33,24.4,23.84,23.14,18.96,17.63,19.17,20.09,19.88
2020P,NJ,WDRCD,7.61,9.15,10.19,9.98,9.73,6.71,5.73,6.41,7.09,6.82
2020P,NJ,WWCCD,3.17,3.26,3.44,3.48,3.61,1.91,1.23,1.06,1.25,1.61
2020P,NJ,WWEID,2.4,2.44,2.21,2.26,2.73,2.62,2.54,2.4,2.22,2.33
2020P,NJ,WWICD,1.69,2.48,2.46,2.42,2.94,2.92,2.8,2.04,1.8,2.73
2020P,NJ,WWTCD,4.23,4.68,4.49,4.86,4.97,2.94,2.61,2.48,2.54,2.68
2020P,NJ,WWTXD,5.8,6.67,7.31,7.55,7.46,3.66,2.77,2.71,3.34,3.51
2020P,NJ,WXICD,33.44,35.56,34.62,33.37,33.91,32.88,32.66,32.69,32.94,29.79
2020P,OH,ARICD,12.95,13.64,15.37,14.65,15.08,12.37,8.71,8.82,11.87,13.06
2020P,OH,ARTCD,12.95,13.64,15.37,14.65,15.08,12.37,8.71,8.82,11.87,13.06
2020P,OH,ARTXD,12.95,13.64,15.37,14.65,15.08,12.37,8.71,8.82,11.87,13.06
2020P,OH,AVACD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,OH,AVTCD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,OH,AVTXD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,OH,CLACD,0,0,0,0,0,0,0,0,0,0
2020P,OH,CLCCD,4.35,4.61,4.97,4.7,4.34,4.29,4.2,5.83,0,0
2020P,OH,CLEID,2.24,2.47,2.41,2.25,2.16,2.12,2.06,1.92,1.77,1.79
2020P,OH,CLICD,5.19,5.54,5.93,4.87,4.17,3.98,3.57,3.91,4.22,4.91
2020P,OH,CLKCD,6.22,6.56,6.66,5.28,4.39,4.1,3.59,3.88,4.25,5.01
2020P,OH,CLOCD,3.23,3.5,3.7,3.51,3.47,3.54,3.45,4.12,4.01,3.95
2020P,OH,CLRCD,0,0,0,0,0,0,0,0,0,0
2020P,OH,CLTCD,2.5,2.77,2.89,2.58,2.43,2.4,2.27,2.19,2.16,2.39
2020P,OH,CLTXD,5.15,5.5,5.91,4.86,4.17,3.99,3.57,3.91,4.22,4.91
2020P,OH,DFACD,21.72,27.88,28.61,28.66,27.94,19.39,16.6,19.08,22.85,21.71
2020P,OH,DFCCD,17.93,24.22,24.74,24.5,22.64,13.35,11.28,13.62,17.02,15.66
2020P,OH,DFEID,16.75,22.32,23.03,22.88,23.55,13.54,11.42,14.15,16.36,15.44
2020P,OH,DFICD,18.82,25.38,25.58,24.98,23.37,15,12.07,14.59,17.71,16.69
2020P,OH,DFRCD,20.36,27.23,27.14,28.15,27.28,17.86,15.46,17.6,19.2,18.42
2020P,OH,DFTCD,21.11,27.38,27.95,27.98,27.12,18.55,15.78,18.22,21.83,20.81
2020P,OH,DFTXD,21.15,27.44,28,28.02,27.16,18.59,15.82,18.25,21.87,20.84
2020P,OH,DKEID,16.75,22.32,23.03,22.88,23.55,13.54,11.42,14.15,16.36,15.44
2020P,OH,ELEXD,0,0,0,0,0,0,0,5.45,8.73,0
2020P,OH,ELIMD,0,0,0,0,0,0,8.74,9.18,10.74,0
2020P,OH,ESACD,25.27,19.47,20.45,19.41,25.73,22.52,23.25,21.97,21.48,20.01
2020P,OH,ESCCD,28.52,28.21,27.76,27.4,28.8,29.5,29.23,29.46,29.62,28.47
